Variable_Independiente_X,Variable_Dependiente_Y
49.56046053902401,82.27620109447038
31.981789073789017,56.73004584307158
21.257892078202513,45.96713462056154
13.091582643166909,36.67654191120383
27.778779838872122,47.37060591574842
28.912318790219413,49.12193293207682
11.940880036257834,25.735904011456718
16.53297792833067,36.25652751373838
14.638028459917777,24.001705294348604
35.09566730817704,62.43049808577449
44.24728194382497,86.29080642171007
36.004096843502104,55.7340458546917
49.628867390312,83.80842617791843
28.814029936151417,68.514675300872
34.731779342694324,59.488702139039866
21.306688261246695,37.51917725228989
49.04013263270166,86.8570907741462
36.92271996526701,67.09295862001069
27.62123555098178,59.952805926524206
21.587493610083794,32.812704041268134
30.38798736188565,58.00682895018611
14.498435831839785,35.18168556335615
19.078191573691434,40.39287786524139
29.142092186467785,50.413384172046015
19.710326271204522,43.524941810222394
25.519300704286678,59.50091780892376
42.75493710261506,76.27455618374344
12.981631406461865,33.40268627850002
46.92598156110677,84.53506970401482
18.995843280378317,39.25212981225082
38.25485938431984,64.03753666670043
14.42261827090045,36.63284677120228
34.040164940927454,74.05177666196165
26.27170152353175,56.46791540931005
43.47317801728225,74.94653964835905
20.001217113758365,51.30737338528493
28.309519658425863,61.45900354144606
32.29730810728303,69.49782575170751
20.078007991662208,28.409420628772963
14.4096528906293,35.91778305034285
39.06548785232097,83.8800766738512
22.402957500648895,58.99994776402216
43.03015861988821,75.59044817931883
28.066661065862142,49.77571629533746
13.7655571640197,27.152491514569736
45.488129504394465,79.24103289815446
39.67016511842438,70.49916005846238
14.877291017391961,38.17374109826137
44.234762867345154,76.32765709027512
12.677530847533976,26.77475944487741
